party,order,surname,given_names,birth_year,age_2026,gender_guess,position_raw,residence_raw,place_type,place
Respublica,1,Алибеков,Бейбит Бахытович,1984,42,м,управляющий партнер медиахолдинга First Media Group,городе Алматы,город,Алматы
Respublica,2,Абдихаликова,Шолпан Аскаровна,1987,39,ж,председатель Алматинского городского филиала партии «Respublica»,городе Алматы,город,Алматы
Respublica,3,Абдугалиева,Асель Жоломановна,1981,45,ж,руководитель отдела РГУ «Департамент комитета государственной инспекции труда Северо-Казахстанской области»,городе Петропавловск,город,Петропавловск
Respublica,4,Абдушарипова,Карагоз Аллаяровна,1986,40,ж,директор КГКП «Филармония им.Тайжана Калмагамбетова области Ұлытау»,городе Жезказгане,город,Жезказган
Respublica,5,Айткулов,Бекжан Бахтыбекович,1991,35,м,председатель Туркестанского областного филиала партии «Respublica»,Туркестанской области,область,Туркестанская область
Respublica,6,Алимбаева,Адия Базиловна,1978,48,ж,директор департамента по взаимодействию с государственными органами «Центра развития цифровой экономики» АО «Казахтелеком»,городе Караганде,город,Караганда
Respublica,7,Алпысов,Мейир Серикович,1988,38,м,заместитель директора ТОО «Akmola Industry»,городе Астане,город,Астана
Respublica,8,Амангелді,Маханбет,1988,38,м,председатель Павлодарского областного филиала партии «Respublica»,Павлодарской области,область,Павлодарская область
Respublica,9,Аубакиров,Нурлан Ерикбаевич,1975,51,м,председатель Карагандинского областного филиала партии «Respublica»,городе Караганде,город,Караганда
Respublica,10,Ахметканов,Арман Шамаевич,1981,45,м,учредитель ТОО «Семей Көркем»,городе Семей,город,Семей
Respublica,11,Ахметов,Еркебулан Картаевич,1987,39,м,вице-президент Федерации Кокпара РК,городе Астане,город,Астана
Respublica,12,Ахметов,Сеилжан Адилханович,1980,46,м,заместитель председателя Комитета государственных доходов Министерства финансов РК,городе Астане,город,Астана
Respublica,13,Байконова,Даурия Бейбитовна,1988,38,ж,"ИП «Байконова», руководитель",городе Караганде,город,Караганда
Respublica,14,Балғожа,Айнаш Қабибуллақызы,1980,46,ж,заведующий сектором государственно-правового отдела Администрации Президента Республики Казахстан,городе Астане,город,Астана
Respublica,15,Бейсембаева,Сабина Сакеновна,1986,40,ж,специалист Мангистауского областного филиала партии «Respublica»,городе Актау,город,Актау
Respublica,16,Бергенев,Чингиз Адылгазыевич,1988,38,м,советник Руководителя Центрального аппарата партии «Respublica»,городе Астане,город,Астана
Respublica,17,Болысов,Тохтар Коммунарович,1994,32,м,советник Руководителя Центрального аппарата партии «Respublica»,городе Астане,город,Астана
