unit_id	unit_kind_check	topic_primary	topic_secondary	statement_type	unclear	notes
ak_zhol-0001	structural				0	титул
ak_zhol-0002	structural				0	название программы
ak_zhol-0003	lead_in				0	
ak_zhol-0004	substantive	T01	T12	description	0	базовые ценности Конституции 2026
ak_zhol-0005	substantive	T01		description	0	
ak_zhol-0006	substantive	T01		description	0	
ak_zhol-0007	lead_in				0	
ak_zhol-0008	substantive	T13	T12	goal	0	
ak_zhol-0009	substantive	T02		goal	0	
ak_zhol-0010	substantive	T04	T09	goal	0	средний класс, сокращение разрыва
ak_zhol-0011	substantive	T05	T03	goal	0	«ресурсный национализм»
ak_zhol-0012	substantive	T03	T14	goal	0	
ak_zhol-0013	substantive	T04		goal	0	квазигосударственный сектор
ak_zhol-0014	substantive	T04	T11	goal	0	
ak_zhol-0015	substantive	T04		goal	0	
ak_zhol-0016	lead_in				0	П-03: строка на «:», содержание в 0017
ak_zhol-0017	substantive	T09	T04	goal	0	инклюзивная экономика
ak_zhol-0018	substantive	T01		goal	0	Курултай и Халық Кеңесі
ak_zhol-0019	substantive	T01		goal	0	формула на местный уровень
ak_zhol-0020	substantive	T01		goal	0	парламентаризм как приоритет
ak_zhol-0021	substantive	T00		description	0	
ak_zhol-0022	substantive	T00		description	0	
ak_zhol-0023	structural				0	заголовок раздела I, разорван вёрсткой
ak_zhol-0024	structural				0	продолжение заголовка I
ak_zhol-0025	substantive	T13		goal	0	
ak_zhol-0026	substantive	T13		goal	0	
ak_zhol-0027	substantive	T12	T13	description	0	государственный язык, многоэтничность
ak_zhol-0028	fragment				0	«Это» — отсылка к 0027
ak_zhol-0029	substantive	T12		description	0	уважение к языкам и культуре этносов
ak_zhol-0030	substantive	T12		instrument	0	отсчёт государственности от древних корней
ak_zhol-0031	substantive	T12	T13	goal	0	светский характер государства
ak_zhol-0032	substantive	T13		goal	0	
ak_zhol-0033	substantive	T00	T01	goal	0	перечень базовых принципов партии
ak_zhol-0034	structural				0	заголовок раздела II, разорван вёрсткой
ak_zhol-0035	structural				0	продолжение заголовка II
ak_zhol-0036	substantive	T00	T01	description	0	
ak_zhol-0037	substantive	T01		description	0	
ak_zhol-0038	substantive	T01		description	0	
ak_zhol-0039	substantive	T01		description	0	П-14: коротко, но пропозиция есть
ak_zhol-0040	fragment				0	ДЕФЕКТ ВЁРСТКИ: сказуемое в 0041
ak_zhol-0041	substantive	T01		goal	0	сказуемое к 0040
ak_zhol-0042	substantive	T13	T01	goal	0	
ak_zhol-0043	substantive	T01		goal	0	
ak_zhol-0044	substantive	T01		goal	0	правительство национального доверия
ak_zhol-0045	substantive	T01		description	0	
ak_zhol-0046	substantive	T01		description	0	
ak_zhol-0047	substantive	T01		instrument	0	представительство партий в Правительстве
ak_zhol-0048	substantive	T01		description	0	продолжение в 0049
ak_zhol-0049	fragment				0	продолжение 0048
ak_zhol-0050	fragment				0	«Это» — отсылка к 0048–0049
ak_zhol-0051	substantive	T01		instrument	0	беспартийность акимов
ak_zhol-0052	substantive	T01		goal	0	
ak_zhol-0053	substantive	T01		goal	0	
ak_zhol-0054	substantive	T01		instrument	0	парламентские расследования
ak_zhol-0055	substantive	T01		description	0	обрыв предложения в источнике
ak_zhol-0056	fragment				0	продолжение 0055
ak_zhol-0057	substantive	T01		goal	0	
ak_zhol-0058	substantive	T01	T03	goal	0	парламентский контроль бюджета
ak_zhol-0059	substantive	T03		description	0	
ak_zhol-0060	substantive	T03	T01	problem	0	квазигоссектор вне парламентских процедур
ak_zhol-0061	substantive	T01	T03	goal	0	
ak_zhol-0062	substantive	T01		problem	0	
ak_zhol-0063	fragment				0	обрыв, продолжение 0062
ak_zhol-0064	substantive	T01		goal	0	
ak_zhol-0065	substantive	T01		description	0	
ak_zhol-0066	substantive	T01		description	0	
ak_zhol-0067	substantive	T01		instrument	0	отчёт Правительства перед Курултаем
ak_zhol-0068	substantive	T01		goal	0	
ak_zhol-0069	structural				0	П-01: объявление темы без сказуемого
ak_zhol-0070	fragment				0	«Речь не только о…» — отсылка
ak_zhol-0071	substantive	T03		problem	0	обязательные платежи как скрытые налоги
ak_zhol-0072	substantive	T01	T09	instrument	0	контроль над ОСМС и ЕНПФ
ak_zhol-0073	substantive	T03		description	0	
ak_zhol-0074	substantive	T01		description	0	бюджетные комитеты у оппозиции
ak_zhol-0075	substantive	T01		description	0	
ak_zhol-0076	substantive	T01	T00	achievement	0	закон «О парламентской оппозиции» 2020
ak_zhol-0077	substantive	T01	T00	achievement	0	
ak_zhol-0078	substantive	T01		goal	0	парламентская многопартийность
ak_zhol-0079	substantive	T01		description	0	Слышащее государство
ak_zhol-0080	substantive	T01		description	0	
ak_zhol-0081	substantive	T01	T03	goal	0	депутатский лимит на нужды избирателей
ak_zhol-0082	substantive	T03	T01	problem	0	резервы Правительства и акимов
ak_zhol-0083	substantive	T01		problem	0	
ak_zhol-0084	substantive	T01	T03	instrument	0	лимит бюджета Курултаю
ak_zhol-0085	substantive	T01		instrument	0	
ak_zhol-0086	substantive	T08	T03	description	0	
ak_zhol-0087	substantive	T01		instrument	0	реагирование на обращения граждан
ak_zhol-0088	substantive	T01		goal	0	
ak_zhol-0089	substantive	T01		problem	0	защита от фальсификаций
ak_zhol-0090	substantive	T01	T14	instrument	0	видеомониторинг участков
ak_zhol-0091	substantive	T01		description	0	
ak_zhol-0092	substantive	T01	T14	instrument	0	распознавание лиц против «каруселей»
ak_zhol-0093	fragment				0	продолжение 0092
ak_zhol-0094	substantive	T01		description	0	
ak_zhol-0095	substantive	T01	T14	instrument	0	пересчёт по видеозаписи
ak_zhol-0096	substantive	T01		description	0	
ak_zhol-0097	substantive	T01		description	0	
ak_zhol-0098	substantive	T01		description	0	
ak_zhol-0099	substantive	T01	T14	description	0	
ak_zhol-0100	lead_in				0	
ak_zhol-0101	substantive	T01	T14	instrument	0	сканеры удостоверений
ak_zhol-0102	substantive	T01		description	0	
ak_zhol-0103	substantive	T01	T14	instrument	0	электронный сбор подписей
ak_zhol-0104	substantive	T01	T14	instrument	0	электронное голосование
ak_zhol-0105	substantive	T01		problem	0	
ak_zhol-0106	substantive	T01	T14	description	0	
