unit_id	unit_kind_check	topic_primary	topic_secondary	statement_type	unclear	notes
respublica-0001	structural				0	титул
respublica-0002	structural				0	продолжение титула
respublica-0003	substantive	T12		description	0	ценностная рамка «кто строит страну»; не о партии, поэтому не T00
respublica-0004	substantive	T00		description	0	
respublica-0005	substantive	T00		description	0	самопозиционирование партии
respublica-0006	substantive	T01	T00	goal	0	защита Конституции
respublica-0007	lead_in				0	
respublica-0008	rhetorical				0	формула из четырёх слов без содержания
respublica-0009	substantive	T00		description	0	описание устройства программы
respublica-0010	structural				0	заголовок раздела I
respublica-0011	substantive	T09		goal	0	
respublica-0012	substantive	T03		goal	0	
respublica-0013	substantive	T04		commitment	0	
respublica-0014	structural				0	заголовок 1.1
respublica-0015	lead_in				0	
respublica-0016	substantive	T04		goal	0	читается только с lead
respublica-0017	substantive	T04		goal	0	
respublica-0018	structural				0	ПОГРАНИЧНЫЙ. Сегментатор дал substantive; «Экономический патриотизм.» — подзаголовок абзаца
respublica-0019	substantive	T04		goal	0	
respublica-0020	substantive	T04	T05	commitment	0	
respublica-0021	substantive	T03		description	0	обоснование через зависимость от импорта
respublica-0022	substantive	T03	T04	instrument	0	налоговые льготы
respublica-0023	substantive	T04		instrument	0	
respublica-0024	substantive	T04		instrument	0	
respublica-0025	substantive	T05		instrument	0	индустриальные кластеры, глубокая переработка
respublica-0026	substantive	T04		instrument	0	антидемпинг: торговая защита, не внешняя политика
respublica-0027	substantive	T03		instrument	0	
respublica-0028	substantive	T04		goal	0	
respublica-0029	substantive	T04		instrument	0	
respublica-0030	substantive	T04		instrument	0	
respublica-0031	substantive	T03		instrument	0	единый платёж с ФОТ 25%
respublica-0032	substantive	T04		instrument	0	
respublica-0033	substantive	T04		goal	0	границы участия госкомпаний
respublica-0034	structural				0	подзаголовок абзаца
respublica-0035	substantive	T04		goal	0	
respublica-0036	lead_in				0	
respublica-0037	substantive	T04	T11	instrument	0	
respublica-0038	substantive	T03		instrument	0	
respublica-0039	substantive	T09		instrument	0	социальный контракт, адресность
respublica-0040	substantive	T04	T12	instrument	0	креативный сектор
respublica-0041	structural				0	заголовок 1.2
respublica-0042	substantive	T03		goal	0	
respublica-0043	substantive	T04		description	0	
respublica-0044	substantive	T04		goal	0	
respublica-0045	substantive	T03		description	0	честный импорт: бюджет и конкуренция
respublica-0046	lead_in				0	
respublica-0047	substantive	T05		instrument	0	
respublica-0048	substantive	T04		instrument	0	антимонопольная политика
respublica-0049	substantive	T04		instrument	0	
respublica-0050	substantive	T07	T03	instrument	0	
respublica-0051	substantive	T03	T14	instrument	0	серый импорт, прослеживание
respublica-0052	substantive	T04		instrument	0	
respublica-0053	structural				0	заголовок 1.3
respublica-0054	substantive	T03		description	0	
respublica-0055	substantive	T03		goal	0	
respublica-0056	substantive	T03		instrument	0	
respublica-0057	substantive	T03	T02	instrument	0	гарантии прав собственности
respublica-0058	lead_in				0	ПОГРАНИЧНЫЙ. Сегментатор дал substantive; строка на «:» вводит 0059
respublica-0059	substantive	T09	T11	instrument	0	частные школы, больницы, детсады
respublica-0060	substantive	T03		instrument	0	
respublica-0061	substantive	T03		goal	0	
respublica-0062	substantive	T03	T14	instrument	0	антифрод-центр
respublica-0063	substantive	T03		instrument	0	необанки
respublica-0064	substantive	T03	T14	instrument	0	платёжная система «Сункар»
respublica-0065	substantive	T03		instrument	0	страхование профответственности
respublica-0066	substantive	T07		instrument	0	агрострахование
respublica-0067	substantive	T03		instrument	0	
respublica-0068	substantive	T09		instrument	0	пенсионный фонд
respublica-0069	structural				0	заголовок 1.4
respublica-0070	substantive	T11		goal	0	
respublica-0071	substantive	T11		goal	0	
respublica-0072	substantive	T11		goal	0	
respublica-0073	lead_in				0	
respublica-0074	substantive	T11		instrument	0	подушевое финансирование
respublica-0075	substantive	T11		instrument	0	
