party_id	order	name	google_search	wiki_pageviews	social_followers	media_mentions	total_index
respublica	1	Алибеков Бейбит Бахытович	45000	0	850000	320	96.51
adilet	10	Аймаганова Айжан Талгатовна	95000	0	260000	680	94.69
adilet	9	Аймагамбетов Асхат Канатович	72000	16265	195000	820	93.12
respublica	75	Ходжаназаров Айдарбек Асанович	28000	25122	165000	450	89.29
ak_zhol	42	Перуашев Азат Турлыбекулы	52000	6523	95000	650	88.57
adilet	2	Абенов Мурат Абдуламитович	48000	5415	95000	520	87.94
auyl	1	Абден Қарақат Жақсылыққызы	39000	6513	85000	410	86.68
auyl	23	Дайрабаев Жигули Молдакалыкович	48000	7194	65000	520	86.55
respublica	54	Науатбек Ақмарал Маратқызы	35000	5439	95000	280	86.19
ak_zhol	52	Тастекей Дулат Тұрсынұлы	19000	2830	120000	130	84.07
adilet	15	Аскеров Эмин Халилович	21000	0	75000	210	83.44
ak_zhol	15	Еспаева Дания Мадиевна	32000	4680	42000	380	83.05
baitaq	1	Абдуалиева Айгуль Кадесовна	24000	0	45000	260	81.96
respublica	55	Наумова Динара Рустамовна	12000	6606	78000	160	81.86
adilet	4	Авершин Константин Викторович	24000	1892	45000	310	81.83
adilet	49	Годунова Наталья Николаевна	38000	258	25000	450	80.24
osdp	1	Абенова Анаргул Жаксагалиевна	22000	0	32000	240	80.15
ak_zhol	21	Иса Қазыбек Жарылқасынұлы	16000	1928	38000	190	79.36
npk	1	Абдраймов Галимжан Райлович	19000	0	28000	210	78.98
adilet	33	Басин Вадим Борисович	32000	4534	15000	390	78.93
osdp	3	Аленова Аружан Дарменовна	26000	0	19000	310	78.79
adilet	41	Бектуров Ренат Нурмолдаевич	19000	0	18000	240	77.3
respublica	66	Тау Нургул	11000	1638	31000	110	76.67
respublica	9	Аубакиров Нурлан Ерикбаевич	18000	2322	15000	210	76.17
ak_zhol	31	Ли Юрий Виссарионович	13000	698	21000	140	75.48
auyl	28	Егізбаев Серік Рахметоллаұлы	15000	438	18000	180	75.37
respublica	43	Куспеков Олжас Хайроллаевич	14000	208	22000	140	75.26
respublica	60	Смолякова Екатерина Сергеевна	8500	4308	18000	95	74.06
adilet	103	Лаврентьев Андрей Сергеевич	22202	24853	6450	46	72.22
ak_zhol	11	Дюсембинов Берик Салимжанович	11000	52	15000	120	72.17
auyl	7	Айтуганов Кайрат Капарович	12000	0	8000	130	71.66
ak_zhol	5	Барлыбаев Ерлан Хайланович	9500	152	12000	110	71.29
adilet	182	Шаталов Никита Сергеевич	7559	2127	11664	73	71.27
adilet	133	Рожин Максим Николаевич	7506	2361	10945	73	71.04
adilet	148	Смышляева Екатерина Васильевна	8293	4258	8752	73	70.69
osdp	8	Ауесбаев Нурлан Сатыбалдиевич	8693	4342	7950	85	70.66
adilet	128	Пономарёв Сергей Михайлович	8757	5171	7953	73	70.54
adilet	108	Мусин Багдат Батырбекович	13036	13395	6450	46	70.52
adilet	144	Сарым Айдос Әміроллаұлы	8157	4377	8058	73	70.33
adilet	153	Сулейменова Жулдыз Досбергеновна	22926	25758	3650	46	70.03
adilet	77	Имашева Снежанна Валерьевна	6163	795	10672	73	69.89
npk	71	Шоканов Нурсултан Нурланович	6082	0	14936	21	69.7
adilet	13	Амантай Жаркынбек	6671	127	12001	73	69.67
adilet	8	Адамбеков Тилектес Серикбайулы	6679	1806	7995	85	69.57
adilet	94	Кожаев Марат Шадетханович	5967	858	9934	73	69.55
npk	61	Сейтжан Кенжеғұл Социалұлы	6679	2524	8070	73	69.54
adilet	36	Башимов Марат Советович	6275	1911	8332	73	69.37
adilet	99	Кучинская Юлия Владимировна	6144	1688	8474	73	69.32
adilet	126	Перепечина Ольга Валентиновна	6027	1632	8258	73	69.15
adilet	109	Муталип Шахмурат	8440	7650	6450	46	69.11
adilet	40	Бекназаров Нурлан Кудиярович	5765	1432	7950	73	68.82
adilet	100	Қамзабекұлы Дихан	3351	1289	12150	46	68.37
osdp	28	Рахимжанов Асхат Нурмагамбетович	5279	824	7950	73	68.31
adilet	83	Калыков Арман Кобыландынович	5162	665	7980	73	68.17
adilet	181	Шапак Унзила	5086	429	8320	73	68.08
osdp	29	Сагандыкова Ажар Бахитовна	5155	152	9194	73	68.01
npk	63	Смирнова Ирина Владимировна	4984	305	8311	73	67.85
npk	65	Сұңқар Ислам Еркінұлы	4767	0	8393	48	67.8
adilet	136	Савельева Татьяна Михайловна	4900	350	7950	73	67.7
adilet	46	Больгерт Евгений Андреевич	4871	310	7960	73	67.63
npk	53	Нұралин Асылбек Жамашұлы	4631	0	7985	48	67.51
adilet	21	Ашимжанов Жанарбек Садыканович	4620	0	7950	48	67.48
adilet	141	Сайыр Ерлан Биахметұлы	4620	0	7950	48	67.48
respublica	4	Абдушарипова Карагоз Аллаяровна	3820	0	10150	33	67.43
ak_zhol	40	Нуралдинов Олжас Ельтайулы	4745	157	7950	73	67.22
baitaq	3	Амиртаев Азаматхан Сайлауович	5159	0	7669	33	67.08
ak_zhol	14	Ерубаев Серик Сарсенович	5254	43	7950	73	66.85
osdp	30	Сайлаубай Наурыз Саятұлы	4662	45	7969	73	66.57
adilet	79	Кажибаева Раушан Жанабергеновна	2320	0	12150	21	66.13
adilet	155	Талаева Таттыгуль Жаксыбаевна	2320	0	12150	21	66.13
adilet	158	Тауан Мухамедкали Эдуардович	2320	0	12150	21	66.13
adilet	166	Тоқшалық Ерлан Бейсенұлы	2320	0	12150	21	66.13
adilet	86	Карин Ерлан Тынымбайұлы	6599	5349	3650	46	66.0
ak_zhol	3	Ахметжаев Даурен Хайруллаевич	3820	0	6450	33	65.5
auyl	2	Абдижаппаров Жандос	3820	0	6450	33	65.5
adilet	1	Абдикешов Алмат Жанболатович	3820	0	6450	33	65.5
respublica	39	Кәрімжан Гүлназ Кәрімжанқызы	2320	0	10150	21	65.36
adilet	134	Рымжанов Мади Рысбекович	2320	0	10150	21	65.36
adilet	149	Соловьёва Ирина Анатольевна	2320	0	10150	21	65.36
adilet	75	Зенченко Геннадий Геннадьевич	4890	3213	3650	46	64.96
ak_zhol	7	Белшер Нұрлан Тукмағанбетұлы	2920	0	6450	33	64.75
auyl	6	Айтбаев Талгат Ергенович	2920	0	6450	33	64.75
auyl	9	Алтангадас Жанат	2920	0	6450	33	64.75
auyl	10	Ануарбеков Жакыпбек Жылкыбаевич	2920	0	6450	33	64.75
baitaq	6	Әмірова Шолпан Кеңесқызы	2920	0	6450	33	64.75
baitaq	8	Байтемиров Турсынбек Шерниязович	2920	0	6450	33	64.75
baitaq	9	Баубек Нариман Асқарұлы	2920	0	6450	33	64.75
npk	7	Амантаев Кайыркен Калкенович	2920	0	6450	33	64.75
adilet	74	Закиева Динара Болатовна	4504	2730	3650	46	64.66
adilet	179	Шагиртаев Имамзада Куанышбаевич	2636	396	6450	46	64.61
