party_id	list_order	candidate_name	birth_year	query	result_urls	result_titles	google_wikipedia_result	checked_at
adilet	2	Абенов Мурат Абдуламитович	1965	"""Абенов Мурат Абдуламитович"" (site:ru.wikipedia.org OR site:kk.wikipedia.org)"	"[""https://ru.wikipedia.org/wiki/%D0%90%D0%B1%D0%B5%D0%BD%D0%BE%D0%B2,_%D0%9C%D1%83%D1%80%D0%B0%D1%82_%D0%90%D0%B1%D0%B4%D1%83%D0%BB%D0%B0%D0%BC%D0%B8%D1%82%D0%BE%D0%B2%D0%B8%D1%87""]"	"[""Абенов, Мурат Абдуламитович Википедия https://ru.wikipedia.org › wiki › А...""]"	true	2026-08-16T22:02:44Z
adilet	4	Авершин Константин Викторович	1976	"""Авершин Константин Викторович"" (site:ru.wikipedia.org OR site:kk.wikipedia.org)"	"[""https://ru.wikipedia.org/wiki/%D0%90%D0%B2%D0%B5%D1%80%D1%88%D0%B8%D0%BD,_%D0%9A%D0%BE%D0%BD%D1%81%D1%82%D0%B0%D0%BD%D1%82%D0%B8%D0%BD_%D0%92%D0%B8%D0%BA%D1%82%D0%BE%D1%80%D0%BE%D0%B2%D0%B8%D1%87"", ""https://kk.wikipedia.org/wiki/%D0%9A%D0%BE%D0%BD%D1%81%D1%82%D0%B0%D0%BD%D1%82%D0%B8%D0%BD_%D0%92%D0%B8%D0%BA%D1%82%D0%BE%D1%80%D0%BE%D0%B2%D0%B8%D1%87_%D0%90%D0%B2%D0%B5%D1%80%D1%88%D0%B8%D0%BD""]"	"[""Авершин, Константин Викторович Википедия https://ru.wikipedia.org › wiki › А..."", ""Константин Викторович Авершин Wikipedia https://kk.wikipedia.org › wiki › К...""]"	true	2026-08-16T22:02:46Z
adilet	8	Адамбеков Тилектес Серикбайулы	1989	"""Адамбеков Тилектес Серикбайулы"" (site:ru.wikipedia.org OR site:kk.wikipedia.org)"	"[""https://ru.wikipedia.org/wiki/%D0%90%D0%B4%D0%B0%D0%BC%D0%B1%D0%B5%D0%BA%D0%BE%D0%B2,_%D0%A2%D0%B8%D0%BB%D0%B5%D0%BA%D1%82%D0%B5%D1%81_%D0%A1%D0%B5%D1%80%D0%B8%D0%BA%D0%B1%D0%B0%D0%B9%D1%83%D0%BB%D1%8B""]"	"[""Адамбеков, Тилектес Серикбайулы Википедия https://ru.wikipedia.org › wiki › А...""]"	true	2026-08-16T22:02:47Z
adilet	9	Аймагамбетов Асхат Канатович	1982	"""Аймагамбетов Асхат Канатович"" (site:ru.wikipedia.org OR site:kk.wikipedia.org)"	"[""https://ru.wikipedia.org/wiki/%D0%90%D0%B9%D0%BC%D0%B0%D0%B3%D0%B0%D0%BC%D0%B1%D0%B5%D1%82%D0%BE%D0%B2,_%D0%90%D1%81%D1%85%D0%B0%D1%82_%D0%9A%D0%B0%D0%BD%D0%B0%D1%82%D0%BE%D0%B2%D0%B8%D1%87""]"	"[""Аймагамбетов, Асхат Канатович Википедия https://ru.wikipedia.org › wiki › А...""]"	true	2026-08-16T22:02:49Z
adilet	13	Амантай Жаркынбек	1988	"""Амантай Жаркынбек"" (site:ru.wikipedia.org OR site:kk.wikipedia.org)"	"[""https://ru.wikipedia.org/wiki/%D0%90%D0%BC%D0%B0%D0%BD%D1%82%D0%B0%D0%B9,_%D0%96%D0%B0%D1%80%D0%BA%D1%8B%D0%BD%D0%B1%D0%B5%D0%BA""]"	"[""Амантай, Жаркынбек Википедия https://ru.wikipedia.org › wiki › А...""]"	true	2026-08-16T22:02:50Z
adilet	21	Ашимжанов Жанарбек Садыканович	1976	"""Ашимжанов Жанарбек Садыканович"" (site:ru.wikipedia.org OR site:kk.wikipedia.org)"	"[""https://ru.wikipedia.org/wiki/%D0%90%D1%88%D0%B8%D0%BC%D0%B6%D0%B0%D0%BD%D0%BE%D0%B2,_%D0%96%D0%B0%D0%BD%D0%B0%D1%80%D0%B1%D0%B5%D0%BA_%D0%A1%D0%B0%D0%B4%D1%8B%D0%BA%D0%B0%D0%BD%D1%83%D0%BB%D1%8B""]"	"[""Ашимжанов, Жанарбек Садыканулы Википедия https://ru.wikipedia.org › wiki › А...""]"	true	2026-08-16T22:02:52Z
adilet	36	Башимов Марат Советович	1966	"""Башимов Марат Советович"" (site:ru.wikipedia.org OR site:kk.wikipedia.org)"	"[""https://ru.wikipedia.org/wiki/%D0%91%D0%B0%D1%88%D0%B8%D0%BC%D0%BE%D0%B2,_%D0%9C%D0%B0%D1%80%D0%B0%D1%82_%D0%A1%D0%BE%D0%B2%D0%B5%D1%82%D0%BE%D0%B2%D0%B8%D1%87""]"	"[""Башимов, Марат Советович Википедия https://ru.wikipedia.org › wiki › Б...""]"	true	2026-08-16T22:02:53Z
adilet	40	Бекназаров Нурлан Кудиярович	1964	"""Бекназаров Нурлан Кудиярович"" (site:ru.wikipedia.org OR site:kk.wikipedia.org)"	"[""https://ru.wikipedia.org/wiki/%D0%91%D0%B5%D0%BA%D0%BD%D0%B0%D0%B7%D0%B0%D1%80%D0%BE%D0%B2,_%D0%9D%D1%83%D1%80%D0%BB%D0%B0%D0%BD_%D0%9A%D1%83%D0%B4%D0%B8%D1%8F%D1%80%D0%BE%D0%B2%D0%B8%D1%87""]"	"[""Бекназаров, Нурлан Кудиярович Википедия https://ru.wikipedia.org › wiki › Б...""]"	true	2026-08-16T22:02:55Z
adilet	46	Больгерт Евгений Андреевич	1984	"""Больгерт Евгений Андреевич"" (site:ru.wikipedia.org OR site:kk.wikipedia.org)"	"[""https://ru.wikipedia.org/wiki/%D0%91%D0%BE%D0%BB%D1%8C%D0%B3%D0%B5%D1%80%D1%82,_%D0%95%D0%B2%D0%B3%D0%B5%D0%BD%D0%B8%D0%B9_%D0%90%D0%BD%D0%B4%D1%80%D0%B5%D0%B5%D0%B2%D0%B8%D1%87""]"	"[""Больгерт, Евгений Андреевич Википедия https://ru.wikipedia.org › wiki › Б...""]"	true	2026-08-16T22:02:56Z
adilet	77	Имашева Снежанна Валерьевна	1981	"""Имашева Снежанна Валерьевна"" (site:ru.wikipedia.org OR site:kk.wikipedia.org)"	"[""https://ru.wikipedia.org/wiki/%D0%98%D0%BC%D0%B0%D1%88%D0%B5%D0%B2%D0%B0,_%D0%A1%D0%BD%D0%B5%D0%B6%D0%B0%D0%BD%D0%BD%D0%B0_%D0%92%D0%B0%D0%BB%D0%B5%D1%80%D1%8C%D0%B5%D0%B2%D0%BD%D0%B0""]"	"[""Имашева, Снежанна Валерьевна Википедия https://ru.wikipedia.org › wiki › И...""]"	true	2026-08-16T22:02:58Z
