id	sector	employer	insider	seniority	incumbent
0	MEDIA	PRIV	N	TOP	N
1	PARTY	POL	Y	TOP	N
2	GOV	STATE	N	SEN	N
3	CULT	STATE	N	TOP	N
4	PARTY	POL	Y	TOP	N
5	BUS	QUASI	N	SEN	N
6	BUS	PRIV	N	SEN	N
7	PARTY	POL	Y	TOP	N
8	PARTY	POL	Y	TOP	N
9	BUS	PRIV	N	ENT	N
10	SPORT	NGO	N	SEN	N
11	GOV	STATE	N	SEN	N
12	BUS	SELF	N	ENT	N
13	GOV	STATE	N	SEN	N
14	PARTY	POL	Y	SPEC	N
15	PARTY	POL	Y	SPEC	N
16	GOV	STATE	N	TOP	N
17	BUS	SELF	N	ENT	N
18	BUS	PRIV	N	TOP	N
19	SPORT	STATE	N	SPEC	N
20	BUS	PRIV	N	TOP	N
21	AGRI	PRIV	N	TOP	N
22	HLTH	STATE	N	SEN	N
23	PARTY	POL	Y	TOP	N
24	BUS	SELF	N	ENT	N
25	SPORT	NGO	N	SEN	N
26	BUS	PRIV	N	TOP	N
27	PARTY	POL	Y	SPEC	N
28	EDU	PRIV	N	TOP	N
29	BUS	PRIV	N	SEN	N
30	BUS	PRIV	N	TOP	N
31	PARTY	POL	Y	TOP	N
32	BUS	PRIV	N	TOP	N
33	BUS	PRIV	N	TOP	N
34	BUS	PRIV	N	TOP	N
35	BUS	PRIV	N	TOP	N
36	PARTY	POL	Y	TOP	N
37	CULT	PRIV	N	TOP	N
38	BUS	PRIV	N	TOP	N
39	BUS	SELF	N	ENT	N
40	BUS	PRIV	N	TOP	N
41	LEG	STATE	N	LEG	Y
42	BUS	PRIV	N	TOP	N
43	PARTY	POL	Y	TOP	N
44	BUS	SELF	N	ENT	N
45	MEDIA	PRIV	N	SPEC	N
46	BUS	PRIV	N	SEN	N
47	GOV	STATE	N	SEN	N
48	MEDIA	STATE	N	SPEC	N
49	BUS	SELF	N	ENT	N
50	BUS	PRIV	N	SEN	N
51	BUS	PRIV	N	TOP	N
52	SPORT	STATE	N	SPEC	N
53	LEG	STATE	N	LEG	Y
54	EDU	STATE	N	TOP	N
55	EDU	PRIV	N	TOP	N
56	BUS	QUASI	N	SEN	N
