party_id	list_order	candidate_name	parliament_deputy_id	official_name	party_fraction	committee	region	official_position	official_source_url	avatar_source_url	facebook_url	instagram_url	youtube_url	match_score	match_margin	match_status	photo_status	r2_key	public_photo_url	asset_rights_note	collected_at	primary_photo_status	primary_r2_key	primary_public_photo_url
adilet	2	Абенов Мурат Абдуламитович	1674	ӘБЕНОВ Мұрат Абдуламитұлы	«AMANAT» партиясының фракциясы	Экономикалық реформа және өңірлік даму комитеті		Комитет мүшесі	https://mazhilis.parlam.kz/api/core/deputies/by-alphabet/	https://mazhilis.parlam.kz/media/deputy_avatars/1674/2024-04-02/%D0%90%D0%B1%D0%B5%D0%BD%D0%BE%D0%B2_%D0%9C%D1%83%D1%80%D0%B0%D1%82_%D0%90%D0%B1%D0%B4%D1%83%D0%BB%D0%B0%D0%BC%D0%B8%D1%82%D0%BE%D0%B2%D0%B8%D1%87_2023_22.JPG				0.954	0.337	MATCHED	PRUNED_DUPLICATE_OF_PRIMARY			Alternative object deleted as byte-identical to the primary photo; see primary_r2_key.	2026-08-16T23:34:15Z	PROMOTED	candidates/adilet/2.jpg	https://assets.open-quryltai.org/candidates/adilet/2.jpg
adilet	4	Авершин Константин Викторович	1678	АВЕРШИН Константин Викторович	«AMANAT» партиясының фракциясы	Халықаралық істер, қорғаныс және қауіпсіздік комитеті		Комитет мүшесі	https://mazhilis.parlam.kz/api/core/deputies/by-alphabet/	https://mazhilis.parlam.kz/media/deputy_avatars/None/2024-04-02/%D0%90%D0%B2%D0%B5%D1%80%D1%88%D0%B8%D0%BD_%D0%9A%D0%BE%D0%BD%D1%81%D1%82%D0%B0%D0%BD%D1%82%D0%B8%D0%BD_%D0%92%D0%B8%D0%BA%D1%82%D0%BE%D1%80%D0%BE%D0%B2%D0%B8%D1%87_2022_22.JPG				1.000	0.461	MATCHED	PRUNED_DUPLICATE_OF_PRIMARY			Alternative object deleted as byte-identical to the primary photo; see primary_r2_key.	2026-08-16T23:34:17Z	PROMOTED	candidates/adilet/4.jpg	https://assets.open-quryltai.org/candidates/adilet/4.jpg
adilet	8	Адамбеков Тилектес Серикбайулы	1679	АДАМБЕКОВ Тілектес Серікбайұлы	«AMANAT» партиясының фракциясы	Экономикалық реформа және өңірлік даму комитеті		Комитет мүшесі	https://mazhilis.parlam.kz/api/core/deputies/by-alphabet/	https://mazhilis.parlam.kz/media/deputy_avatars/None/2024-04-02/%D0%90%D0%B4%D0%B0%D0%BC%D0%B1%D0%B5%D0%BA%D0%BE%D0%B2_%D0%A2%D0%B8%D0%BB%D0%B5%D0%BA%D1%82%D0%B5%D1%81_%D0%A1%D0%B5%D1%80%D0%B8%D0%BA%D0%B1%D0%B0%D0%B8%D1%83%D0%BB%D1%8B_2023_22.JPG				1.000	0.302	MATCHED	PRUNED_DUPLICATE_OF_PRIMARY			Alternative object deleted as byte-identical to the primary photo; see primary_r2_key.	2026-08-16T23:34:20Z	PROMOTED	candidates/adilet/8.jpg	https://assets.open-quryltai.org/candidates/adilet/8.jpg
adilet	9	Аймагамбетов Асхат Канатович	8	АЙМАҒАМБЕТОВ Асхат Қанатұлы	«AMANAT» партиясының фракциясы	Әлеуметтік-мәдени даму комитеті	Қарағанды облысы	Комитет Төрағасы	https://mazhilis.parlam.kz/api/core/deputies/by-alphabet/	https://mazhilis.parlam.kz/media/deputy_avatars/8/2024-01-23/%D0%90%D0%B8%D0%BC%D0%B0%D0%B3%D0%B0%D0%BC%D0%B1%D0%B5%D1%82%D0%BE%D0%B2_%D0%90%D1%81%D1%85%D0%B0%D1%82_%D0%9A%D0%B0%D0%BD%D0%B0%D1%82%D0%BE%D0%B2%D0%B8%D1%87_2023_22.JPG	https://www.facebook.com/askhat.aimagambetov	https://www.instagram.com/aimagambetov?fbclid=IwAR39sc62hNYhjz8vMPEsVAT_VXXLgI-ovFbcOesnG0QD4NS0cpyuH-yRj4Q		0.933	0.349	MATCHED	PRUNED_DUPLICATE_OF_PRIMARY			Alternative object deleted as byte-identical to the primary photo; see primary_r2_key.	2026-08-16T23:34:22Z	PROMOTED	candidates/adilet/9.jpg	https://assets.open-quryltai.org/candidates/adilet/9.jpg
adilet	13	Амантай Жаркынбек	1681	АМАНТАЙ Жарқынбек None	«AMANAT» партиясының фракциясы	Заңнама және сот-құқықтық реформа комитеті	Павлодар облысы	Комитет мүшесі	https://mazhilis.parlam.kz/api/core/deputies/by-alphabet/	https://mazhilis.parlam.kz/media/deputy_avatars/None/2024-04-02/%D0%90%D0%BC%D0%B0%D0%BD%D1%82%D0%B0%D0%B8_%D0%96%D0%B0%D1%80%D0%BA%D1%8B%D0%BD%D0%B1%D0%B5%D0%BA_2023_22.JPG				1.000	0.385	MATCHED	PRUNED_DUPLICATE_OF_PRIMARY			Alternative object deleted as byte-identical to the primary photo; see primary_r2_key.	2026-08-16T23:34:26Z	PROMOTED	candidates/adilet/13.jpg	https://assets.open-quryltai.org/candidates/adilet/13.jpg
adilet	21	Ашимжанов Жанарбек Садыканович	1685	ӘШІМЖАНОВ Жанарбек Садықанұлы	«AMANAT» партиясының фракциясы	Әлеуметтік-мәдени даму комитеті	Алматы облысы	Комитет мүшесі	https://mazhilis.parlam.kz/api/core/deputies/by-alphabet/	https://mazhilis.parlam.kz/media/deputy_avatars/None/2024-04-02/%D0%90%D1%88%D0%B8%D0%BC%D0%B6%D0%B0%D0%BD%D0%BE%D0%B2_%D0%96%D0%B0%D0%BD%D0%B0%D1%80%D0%B1%D0%B5%D0%BA_%D0%A1%D0%B0%D0%B4%D1%8B%D0%BA%D0%B0%D0%BD%D0%BE%D0%B2%D0%B8%D1%87_2023_22.JPG				0.945	0.391	MATCHED	PRUNED_DUPLICATE_OF_PRIMARY			Alternative object deleted as byte-identical to the primary photo; see primary_r2_key.	2026-08-16T23:34:28Z	PROMOTED	candidates/adilet/21.jpg	https://assets.open-quryltai.org/candidates/adilet/21.jpg
adilet	36	Башимов Марат Советович	34	БАШИМОВ Марат Советұлы	«AMANAT» партиясының фракциясы	Заңнама және сот-құқықтық реформа комитеті	Астана қ.	Комитет мүшесі	https://mazhilis.parlam.kz/api/core/deputies/by-alphabet/	https://mazhilis.parlam.kz/media/deputy_avatars/34/2024-01-23/%D0%91%D0%B0%D1%88%D0%B8%D0%BC%D0%BE%D0%B2_%D0%9C%D0%B0%D1%80%D0%B0%D1%82_%D0%A1%D0%BE%D0%B2%D0%B5%D1%82%D0%BE%D0%B2%D0%B8%D1%87_2023_22.JPG	https://www.facebook.com/marat.bashimov	https://www.instagram.com/maratbashimov/		0.933	0.386	MATCHED	PRUNED_DUPLICATE_OF_PRIMARY			Alternative object deleted as byte-identical to the primary photo; see primary_r2_key.	2026-08-16T23:34:32Z	PROMOTED	candidates/adilet/36.jpg	https://assets.open-quryltai.org/candidates/adilet/36.jpg
adilet	77	Имашева Снежанна Валерьевна	50	ИМАШЕВА Снежанна Валерьевна	«AMANAT» партиясының фракциясы	Заңнама және сот-құқықтық реформа комитеті		Комитет Төрайымы	https://mazhilis.parlam.kz/api/core/deputies/by-alphabet/	https://mazhilis.parlam.kz/media/deputy_avatars/50/2024-01-23/%D0%98%D0%BC%D0%B0%D1%88%D0%B5%D0%B2%D0%B0_%D0%A1%D0%BD%D0%B5%D0%B6%D0%B0%D0%BD%D0%BD%D0%B0_%D0%92%D0%B0%D0%BB%D0%B5%D1%80%D1%8C%D0%B5%D0%B2%D0%BD%D0%B0_2016_22.JPG	https://www.facebook.com/snezha.imash	https://www.instagram.com/snezhannaimasheva/		1.000	0.403	MATCHED	PRUNED_DUPLICATE_OF_PRIMARY			Alternative object deleted as byte-identical to the primary photo; see primary_r2_key.	2026-08-16T23:34:34Z	PROMOTED	candidates/adilet/77.jpg	https://assets.open-quryltai.org/candidates/adilet/77.jpg
adilet	83	Калыков Арман Кобыландынович	56	ҚАЛЫҚОВ Арман Қобыландыұлы	«AMANAT» партиясының фракциясы	Экология мәселелері және табиғат пайдалану комитеті	Қарағанды облысы	Комитет мүшесі	https://mazhilis.parlam.kz/api/core/deputies/by-alphabet/	https://mazhilis.parlam.kz/media/deputy_avatars/56/2024-01-23/%D0%9A%D0%B0%D0%BB%D1%8B%D0%BA%D0%BE%D0%B2_%D0%90%D1%80%D0%BC%D0%B0%D0%BD_%D0%9A%D0%BE%D0%B1%D1%8B%D0%BB%D0%B0%D0%BD%D0%B4%D1%8B%D0%BD%D0%BE%D0%B2%D0%B8%D1%87_2023_22.JPG	https://www.facebook.com/profile.php?id=100001116081498	https://www.instagram.com/arman.kalykov/		0.950	0.437	MATCHED	PRUNED_DUPLICATE_OF_PRIMARY			Alternative object deleted as byte-identical to the primary photo; see primary_r2_key.	2026-08-16T23:34:37Z	PROMOTED	candidates/adilet/83.jpg	https://assets.open-quryltai.org/candidates/adilet/83.jpg
adilet	99	Кучинская Юлия Владимировна	64	КУЧИНСКАЯ Юлия Владимировна	«AMANAT» партиясының фракциясы	Халықаралық істер, қорғаныс және қауіпсіздік комитеті		Комитет мүшесі	https://mazhilis.parlam.kz/api/core/deputies/by-alphabet/	https://mazhilis.parlam.kz/media/deputy_avatars/64/2024-01-23/%D0%9A%D1%83%D1%87%D0%B8%D0%BD%D1%81%D0%BA%D0%B0%D1%8F_%D0%AE%D0%BB%D0%B8%D1%8F_%D0%92%D0%BB%D0%B0%D0%B4%D0%B8%D0%BC%D0%B8%D1%80%D0%BE%D0%B2%D0%BD%D0%B0_2021_22.JPG	https://www.facebook.com/juliakuchinskaya	https://www.instagram.com/kuchinskaya_yu.v/		1.000	0.564	MATCHED	PRUNED_DUPLICATE_OF_PRIMARY			Alternative object deleted as byte-identical to the primary photo; see primary_r2_key.	2026-08-16T23:34:39Z	PROMOTED	candidates/adilet/99.jpg	https://assets.open-quryltai.org/candidates/adilet/99.jpg
