id	position_raw	position_kk	position_ru	status	source_url	review_notes
0	управляющий партнер медиахолдинга First Media Group	First Media Group медиахолдингінің басқарушы серіктесі	управляющий партнер медиахолдинга First Media Group	APPROVED		
1	председатель Алматинского городского филиала партии «Respublica»	Respublica партиясының Алматы қалалық филиалының төрағасы	председатель Алматинского городского филиала партии «Respublica»	APPROVED		
2	руководитель отдела РГУ «Департамент комитета государственной инспекции труда Северо-Казахстанской области»	«Солтүстік Қазақстан облысының мемлекеттік еңбек инспекциясы комитеті департаменті» РММ бөлімінің басшысы	руководитель отдела РГУ «Департамент комитета государственной инспекции труда Северо-Казахстанской области»	APPROVED		
3	директор КГКП «Филармония им.Тайжана Калмагамбетова области Ұлытау»	Ұлытау облысының Тайжан Қалмағамбетов атындағы филармониясы КМҚК директоры	директор КГКП «Филармония им.Тайжана Калмагамбетова области Ұлытау»	APPROVED		
4	председатель Туркестанского областного филиала партии «Respublica»	Respublica партиясының Түркістан облыстық филиалының төрағасы	председатель Туркестанского областного филиала партии «Respublica»	APPROVED		
5	директор департамента по взаимодействию с государственными органами «Центра развития цифровой экономики» АО «Казахтелеком»	«Қазақтелеком» АҚ-ның «Цифрлық экономиканы дамыту орталығы» ЖШС мемлекеттік органдармен өзара іс-қимыл департаментінің директоры	директор департамента по взаимодействию с государственными органами «Центра развития цифровой экономики» АО «Казахтелеком»	APPROVED		
6	заместитель директора ТОО «Akmola Industry»	«Akmola Industry» ЖШС директорының орынбасары	заместитель директора ТОО «Akmola Industry»	APPROVED		
7	председатель Павлодарского областного филиала партии «Respublica»	Respublica партиясының Павлодар облыстық филиалының төрағасы	председатель Павлодарского областного филиала партии «Respublica»	APPROVED		
8	председатель Карагандинского областного филиала партии «Respublica»	Respublica партиясының Қарағанды облыстық филиалының төрағасы	председатель Карагандинского областного филиала партии «Respublica»	APPROVED		
9	учредитель ТОО «Семей Көркем»	«Семей Көркем» ЖШС құрылтайшысы	учредитель ТОО «Семей Көркем»	APPROVED		
10	вице-президент Федерации Кокпара РК	ҚР Көкпар федерациясының вице-президенті	вице-президент Федерации Кокпара РК	APPROVED		
