id	position_raw
0	управляющий партнер медиахолдинга First Media Group
1	председатель Алматинского городского филиала партии «Respublica»
2	руководитель отдела РГУ «Департамент комитета государственной инспекции труда Северо-Казахстанской области»
3	директор КГКП «Филармония им.Тайжана Калмагамбетова области Ұлытау»
4	председатель Туркестанского областного филиала партии «Respublica»
5	директор департамента по взаимодействию с государственными органами «Центра развития цифровой экономики» АО «Казахтелеком»
6	заместитель директора ТОО «Akmola Industry»
7	председатель Павлодарского областного филиала партии «Respublica»
8	председатель Карагандинского областного филиала партии «Respublica»
9	учредитель ТОО «Семей Көркем»
10	вице-президент Федерации Кокпара РК
11	заместитель председателя Комитета государственных доходов Министерства финансов РК
12	ИП «Байконова», руководитель
13	заведующий сектором государственно-правового отдела Администрации Президента Республики Казахстан
14	специалист Мангистауского областного филиала партии «Respublica»
15	советник Руководителя Центрального аппарата партии «Respublica»
16	аким сельского округа имени Магжан Жумабаева, Северо-Казахстанской области
17	ИП «Royal Event», директор ТОО «Shanyraq Partners»
18	генеральный директор «Smartest Prep LTD»
19	Центр спортивной подготовки для лиц с ограниченными физическими возможностями, параспортсмен
20	директор ТОО «Venera Print»
21	генеральный директор ТОО «Б-Агро-Север»
22	директор по стратегии и науке АО «Национальный центр нейрохирургии»
23	председатель Алматинского областного филиала партии «Respublica»
24	ИП «Malika Duisenbayeva»
25	вице-президент Федерации борьбы РК
26	учредитель и директор группы компаний «Sign Tech»
27	главный менеджер-аналитик Фракции партии «Respublica»
28	директор колледжа «Отырар»
29	заместитель директора ТОО «Global Foods»
30	председатель правления АО «УлыТау Холдинг»
31	руководитель Центрального аппарата партии «Respublica»
32	директор ТОО «Espresso Day»
33	управляющий партнер ТОО «Finex-Audit»
34	генеральный директор ТОО «Atelier Arunaz», ИП «Ателье Аруназ Дизайн»
35	председатель наблюдательного совета ТОО «Capital Road Construction»
36	председатель Жамбылского областного филиала партии «Respublica»
37	директор центра кино и искусства «BN Prodaction»
38	генеральный директор - член наблюдательного совета «Dala Edge Creative Park»
39	ИП «Алия Конилхан», руоводитель
40	ТОО «B2C», директор
41	депутат Мажилиса Парламента VIII созыва
42	президент ТОО «Балмуздак»
43	председатель Западно-Казахстанского областного филиала партии «Respublica»
44	ИП «Марклен», руководитель
45	ТОО «Телевидение Астана», продюсер
46	GR директор, АО «Костанайские минералы»
47	секретарь Высшего Судебного Совета РК - руководитель аппарата
48	советник директора Телерадиокомплекса Президента РК
49	Индивидуальный предприниматель
50	заместитель Генерального директора АО «КазАзот» по корпоративному и устойчивому развитию
51	генеральный директор группы компаний ТОО «NQDC GROUP»
52	Центр спортивной подготовки для лиц с ограниченными физическими возможностями, инструктор-спортсмен
53	депутат Мажилиса Парламента РК VIII созыва
54	директор школы-гимназии № 58
55	директор ТОО «Art school 2020»
56	директор департамента экономики и планирования АО «НК «Казахстан инжиниринг»
57	руководитель ТОО «Алматы Лакшери Трэвел»
58	независимый директор АО «KEGOC», генеральный директор АО «НацЭКС»
59	генеральный директор ТОО «КДЛ «Олимп»
60	учредительный директор ТОО «КАС Консалтинг софт», Президент Казахстанской ассоциации информационных технологий и инноваций»
61	профессор Nazarbayev University, академик НАН
62	учредитель ТОО «Энерджи Тараз»
63	заместитель председателя Ассоциации по развитию искусственного интеллекта в Казахстане
64	руководитель ИП «Евротекстиль»
65	председатель Атырауского областного филиала партии «Respublica»
66	председатель Мангистауского областного филиала партии «Respublica»
67	генеральный директор ТОО «Special oil Projets»
68	председатель правления НАО «Turar Healthcare»
69	председатель Карагандинского областного филиала ДПК «Ак жол»
70	Руководитель службы поддержки молодежного предпринимательства ДПК «Ак жол»
71	директор ТОО «Даниял құрылыс дизайн»
72	заместитель Председателя ДПК «Ак жол», депутат Мажилиса Парламента РК VII, VIII созыва
73	заместитель председателя Алматинского городского филиала ДПК «Ак жол»
74	президент АО «KazPetroDrilling»
75	директор филиала ТОО «Texol Транс»
76	директор Атырауского филиала ТОО «КМG EP-Catering»
77	секретарь Политического совета ДПК «Ак жол»
78	депутат Мажилиса Парламента РК VII созыва, секретарь Политического совета ДПК «Ақ жол»
79	председатель филиала ДПК «Ак жол» области Жетісу, председатель постоянной комиссии областного маслихата области Жетісу, область Жетісу
80	декан школы педиатрии НАО «Карагандинский Медицинский университет»
81	заместитель председателя ДПК «Ак жол», депутат Мажилиса Парламента РК VII, VIII созыва
82	председатель ДПК «Ақ жол», депутат Мажилиса Парламента РК VII, VIII созыва
83	директор КГУ «Средняя школа комплекс национального возрождения № 17» города Петропавловска
84	исполнительный директор «Ассоциации ECOJER»
85	инженер ТОО «Connectivity Solutions»
86	председатель Костанайского областного филиала ДПК «Ак жол», председатель постоянной комиссии по вопросам социальной сферы Костанайского областного маслихата
87	управляющий партнер ТОО «First Legal Consulting group»
88	Генеральный директор ТОО «Samadi A Group»
89	управляющий директор ТОО «Казахстанский завод магнезитовых изделий»
90	председатель наблюдательного Совета ТОО «Best Product Pavlodar»
91	директор ТОО «Discovery Coffee Semey», депутат городского маслихата г. Семей
92	директор ОЮЛ «ИП «КАПиСУ»; заместитель председателя по правовым вопросам Карагандинского областного филиала ДПК «Ак жол»
93	председатель партийной комиссии ДПК «Ак жол»
94	секретарь Полититического совета, руководитель аппарата ДПК «Ак жол»
95	заместитель директора ТОО «Astana Energo Hub»
96	директор филиала ТОО «KMG Security» в городе Жанаозен
97	Генеральный директор ОФ «Финансовая культура Казахстана»
98	советник ТОО «Aspara Munay»
99	Генеральный директор ТОО «Billboards Empire», директор ТОО «Terra Invest Group», директор ТОО «Энерго Трэйдинг Групп»
100	Генеральный директор ТОО «Смарт-энергетика»
101	Генеральный директор ТОО «ENCOS Group»
102	директор ТОО «Урал Пром Энерго»
103	президент ОЮЛ «Ассоциация Застройщиков Казахстана»
104	руководитель департамента экологии по Павлодарской области
105	Генеральный директор ТОО «Таразкий кожевенный завод»
106	депутат Мажилиса Парламента РК VІІІ созыва
107	предприниматель
108	депутат Мажилиса Парламента РК V, VI, VII, VIII созыва
109	директор департамента ПХВ «Информационно-вычислительный центр»
110	директор СКФ «Туркестан», директор ТОО «DG-art», советник Генерального директора ТОО «Mabex Trade LTD»
111	заместитель председателя Алматинского областного филиала ДПК «Ак жол»
112	председатель Туркестанского областного филилала ДПК «Ак жол», предприниматель
113	первый заместитель Генерального директора ТОО «Dostyk Gaz Terminal»
114	заместитель директора ТОО «Газета «Наш Костанай», редактор ИА «Тобол Инфо»
115	председатель Астанинского филиала ДПК «Ак жол», председатель постоянной комиссии маслихата города Астана по вопросам социально-культурного развития
116	директор ТОО «Стройгрупп PVL»
117	председатель постоянной комиссии по социальным вопросам Акмолинского областного маслихата
118	основатель и управляющий группы компаний «TASGROUP», Генеральный директор ТОО «МФО «TAS FINANSCE GROUP»
119	директор ресторана «Жібек жолы»
120	председатель постоянной комиссии по инвестициям и развитию городской комфортной среды маслихата города Шымкент
121	заместитель директора ТОО «Арал газ»
122	индивидуальный предприниматель, юрист международного фонда защиты свободы слова «Адил сөз»
123	заместитель директора департамента стратегии ТОО «Корпорация «Казахмыс»
124	директор ИП «Мағжан», депутат областного маслихата по Западно-Казахстанской области
125	учитель истории Назарбаев интеллектуальная школа в городе Астана
126	Генеральный директор ТОО ДП «Жаркент»
127	депутат городского маслихата города Шымкент, директор кооператива «BIOMAK»
128	председатель Алматинского областного филиала ДПК «Ак жол», заместитель директора ТОО «Специализированное предприятие по обработке камня»
129	председатель Атырауского областного филиала ДПК «Ак жол», директор ТОО «Атырау көлік құрылыс»
130	член Политсовета «Партии «Ауыл»
131	руководитель ТОО «Бірлік АЖА»
132	советник председателя «Партии «Ауыл»
133	председатель регионального филиала «Партии «Ауыл» по городу Астана, генеральный директор горнодобывающего ТОО «Aksenger mining»
134	председатель регионального филиала «Партии «Ауыл» по Восточно-Казахстанской области , директор ТОО «Опытное хозяйство масличных культур», депутат маслихата Восточно-Казахстанской области
135	директор ТОО «АвтоНурМах»
136	председатель «Партии «Ауыл»
137	редактор газеты «Сыр Дидары»
138	руководитель ТОО «Алтын Жулдыз»
139	директор ТОО «Ремспецстрой», директор ТОО «Улдана»
140	директор филиала «Есиль су» РГП на ПХВ» Казводхоз» МВРИ РК
141	заведующая кафедрой Шәкәрім университета
142	председатель Жетысуского регионального филиала «Партии «Ауыл», руководитель Жетысуского филиала РГП «Республиканский противоэпизоотический отряд»
143	председатель регионального филиала «Партии «Ауыл» по Атырауской области
144	декан факультета экономики и права Костанайского университета им. А. Байтұрсынұлы
145	заместитель председателя «Партии «Ауыл»-руководитель Центрального аппарата
146	директор Общественного фонда «ITeachMe» центр развития компетенций», внештатный советник министра труда и социальной защиты населения Республики Казахстан
147	председатель регионального филиала «Партии «Ауыл» по Алматинской области
148	исполнительный директор общественного фонда «Саналы Қоғам»
149	руководитель ТОО «Металл-инжениринг»
150	член Политсовета «Партии «Ауыл», председатель правления «Ассоциация фермеров Казахстана»
151	директор ТОО «Александровское»
152	учредитель ТОО «Basic Agro»
153	член совета директоров ТОО «Батыс Пауэр»
154	частное учреждение «Samruk Business Academy», заместитель генерального директора
155	первый заместитель председателя «Партии «Ауыл»
