party_id	list_order	candidate_name	birth_year	wiki_language	wikipedia_url	wikidata_id	source_extract	photo_status	photo_source_url	photo_license	photo_author	r2_key	public_photo_url	collected_at
npk	63	Смирнова Ирина Владимировна	1960	ru	https://ru.wikipedia.org/wiki/%D0%A1%D0%BC%D0%B8%D1%80%D0%BD%D0%BE%D0%B2%D0%B0,_%D0%98%D1%80%D0%B8%D0%BD%D0%B0_%D0%92%D0%BB%D0%B0%D0%B4%D0%B8%D0%BC%D0%B8%D1%80%D0%BE%D0%B2%D0%BD%D0%B0	Q97316001	Смирнова, Ирина Владимировна: Смирнова, Ирина Владимировна (род. 1960) — депутат Мажилиса Парламента Казахстана VI созыва. Смирнова, Ирина Владимировна (род. 1981) — российская волейболистка сидя.	NO_PHOTO						2026-08-16T22:41:00Z
npk	71	Шоканов Нурсултан Нурланович	1986	ru	https://ru.wikipedia.org/wiki/%D0%A8%D0%BE%D0%BA%D0%B0%D0%BD%D0%BE%D0%B2,_%D0%9D%D1%83%D1%80%D1%81%D1%83%D0%BB%D1%82%D0%B0%D0%BD_%D0%9D%D1%83%D1%80%D0%BB%D0%B0%D0%BD%D0%BE%D0%B2%D0%B8%D1%87	Q140367191	Нурсулта́н Нурла́нович Шока́нов (каз. Нұрсұлтан Нұрланұлы Шоқанов; род. 20 января 1986, Алматы, Казахская ССР, СССР) — казахстанский общественный деятель и предприниматель. Председатель Народной партии Казахстана с 2026 года. Депутат Маслихата Алматы с 2021 по 2025 годы.	UPLOADED	https://upload.wikimedia.org/wikipedia/commons/5/5b/%D0%9D%D2%B1%D1%80%D1%81%D2%B1%D0%BB%D1%82%D0%B0%D0%BD_%D0%A8%D0%BE%D2%9B%D0%B0%D0%BD%D0%BE%D0%B2_%282025-02-12%29_%28cropped%29.jpg?utm_source=ru.wikipedia.org&utm_campaign=imageinfo&utm_content=thumbnail_unscaled	CC BY 4.0	The Press Service of the Government of the Republic of Kazakhstan	candidates/npk/71.jpg	https://assets.open-quryltai.org/candidates/npk/71.jpg	2026-08-16T22:41:02Z
osdp	8	Ауесбаев Нурлан Сатыбалдиевич	1957	ru	https://ru.wikipedia.org/wiki/%D0%90%D1%83%D0%B5%D1%81%D0%B1%D0%B0%D0%B5%D0%B2,_%D0%9D%D1%83%D1%80%D0%BB%D0%B0%D0%BD_%D0%A1%D0%B0%D1%82%D1%8B%D0%B1%D0%B0%D0%BB%D0%B4%D0%B8%D0%B5%D0%B2%D0%B8%D1%87	Q114569007	Нурлан Сатыбалдиевич Ауесбаев (каз. Нұрлан Сатыбалдыұлы Әуесбаев; род. 17 мая 1957, Алгабас, Чаяновский район, Южно-Казахстанская область) — казахстанский политический деятель. Депутат Мажилиса парламента Казахстана VIII созыва от Общенациональной социал-демократической партии с 2023 до упразднения Парламента в 2026 году. Кандидат в президенты Казахстана на выборах 2022 года от ОСДП.	UPLOADED	https://upload.wikimedia.org/wikipedia/commons/9/9f/Nurlan_Auesbaev.png?utm_source=ru.wikipedia.org&utm_campaign=imageinfo&utm_content=thumbnail_unscaled	CC BY 4.0	Majilis of the Parliament of the Republic of Kazakhstan	candidates/osdp/8.png	https://assets.open-quryltai.org/candidates/osdp/8.png	2026-08-16T22:41:05Z
osdp	28	Рахимжанов Асхат Нурмагамбетович	1983	ru	https://ru.wikipedia.org/wiki/%D0%A0%D0%B0%D1%85%D0%B8%D0%BC%D0%B6%D0%B0%D0%BD%D0%BE%D0%B2,_%D0%90%D1%81%D1%85%D0%B0%D1%82_%D0%9D%D1%83%D1%80%D0%BC%D0%B0%D0%B3%D0%B0%D0%BC%D0%B1%D0%B5%D1%82%D0%BE%D0%B2%D0%B8%D1%87	Q100429767	Асхат Нурмагамбетович Рахимжанов (каз. Асхат Нұрмағамбетұлы Рақымжанов, род. 10 июня 1983) — казахстанский государственный деятель, депутат, член Комитета по международным делам, обороне и безопасности Мажилиса Парламента Республики Казахстан VIII созыва с 2023 до до упразднения Парламента в 2026 году. Председатель Общенациональной социал-демократической партии.	UPLOADED	https://upload.wikimedia.org/wikipedia/commons/6/6a/%D0%90%D1%81%D1%85%D0%B0%D1%82_%D0%A0%D0%B0%D1%85%D1%8B%D0%BC%D0%B6%D0%B0%D0%BD%D0%BE%D0%B2_%2816762%29_%28cropped%29.jpg?utm_source=ru.wikipedia.org&utm_campaign=imageinfo&utm_content=thumbnail_unscaled	CC BY 4.0	Majilis of the Parliament of the Republic of Kazakhstan	candidates/osdp/28.jpg	https://assets.open-quryltai.org/candidates/osdp/28.jpg	2026-08-16T22:41:10Z
osdp	29	Сагандыкова Ажар Бахитовна	1971	ru	https://ru.wikipedia.org/wiki/%D0%A1%D0%B0%D0%B3%D0%B0%D0%BD%D0%B4%D1%8B%D0%BA%D0%BE%D0%B2%D0%B0,_%D0%90%D0%B6%D0%B0%D1%80_%D0%91%D0%B0%D1%85%D0%B8%D1%82%D0%BE%D0%B2%D0%BD%D0%B0	Q137383873	Ажар Бахитовна Сагандыкова (каз. Ажар Бақытқызы Сағандықова; род. 16 августа 1971, Павлодар) — казахстанский государственный деятель. Депутат Мажилиса Парламента Республики Казахстан VIII созыва от «Общенациональной социал-демократической партии» с 2023 до упразднения Парламента в 2026 году.	UPLOADED	https://upload.wikimedia.org/wikipedia/commons/a/a2/Ajar_Sa%C4%9Fand%C4%B1qova_%282023-04-04%29.jpg?utm_source=ru.wikipedia.org&utm_campaign=imageinfo&utm_content=thumbnail_unscaled	CC BY 4.0	Majilis of the Parliament of the Republic of Kazakhstan	candidates/osdp/29.jpg	https://assets.open-quryltai.org/candidates/osdp/29.jpg	2026-08-16T22:41:13Z
respublica	21	Габбасов Еркин Тлеугабылович	1983	ru	https://ru.wikipedia.org/wiki/%D0%93%D0%B0%D0%B1%D0%B1%D0%B0%D1%81%D0%BE%D0%B2,_%D0%95%D1%80%D0%BA%D0%B8%D0%BD_%D0%A2%D0%BB%D0%B5%D1%83%D0%B3%D0%B0%D0%B1%D1%8B%D0%BB%D0%BE%D0%B2%D0%B8%D1%87	Q130210100	Еркин Тлеугабылович Габбасов (каз. Еркін Тілеуғабылұлы Ғаббасов; род. 9 сентября 1983 года) — казахстанский спортсмен, стрелок-паралимпиец. Серебряный призёр летних Паралимпийских игр 2024 в Париже.	NO_PHOTO						2026-08-16T22:41:17Z
respublica	43	Куспеков Олжас Хайроллаевич	1986	ru	https://ru.wikipedia.org/wiki/%D0%9A%D1%83%D1%81%D0%BF%D0%B5%D0%BA%D0%BE%D0%B2,_%D0%9E%D0%BB%D0%B6%D0%B0%D1%81_%D0%A5%D0%B0%D0%B9%D1%80%D0%BE%D0%BB%D0%BB%D0%B0%D0%B5%D0%B2%D0%B8%D1%87	Q131744492	Олжас Хайроллаевич Куспеков (каз. Олжас Хайроллаұлы Құспеков; род. 7 января 1986, Карагандинская область) — казахстанский государственный деятель. Депутат Мажилиса Парламента Республики Казахстан VIII созыва от партии Respublica с 2023 до упразднения Парламента в 2026 году.	UPLOADED	https://upload.wikimedia.org/wikipedia/commons/thumb/f/fb/Oljas_Quspekov_%282023-06-15%29.jpg/1280px-Oljas_Quspekov_%282023-06-15%29.jpg?utm_source=ru.wikipedia.org&utm_campaign=imageinfo&utm_content=thumbnail	CC BY 4.0	Mäjilis of the Parliament of the Republic of Kazakhstan	candidates/respublica/43.jpg	https://assets.open-quryltai.org/candidates/respublica/43.jpg	2026-08-16T22:41:18Z
respublica	55	Наумова Динара Рустамовна	1997	ru	https://ru.wikipedia.org/wiki/%D0%9D%D0%B0%D1%83%D0%BC%D0%BE%D0%B2%D0%B0,_%D0%94%D0%B8%D0%BD%D0%B0%D1%80%D0%B0_%D0%A0%D1%83%D1%81%D1%82%D0%B0%D0%BC%D0%BE%D0%B2%D0%BD%D0%B0	Q120277635	Динара Рустамовна Наумова (каз. Динара Рустамқызы Наумова; род. 8 сентября 1997, Акмола, Казахстан) — казахстанский общественный деятель. Депутат Мажилиса Парламента Казахстана VIII созыва (2023—2026).	UPLOADED	https://upload.wikimedia.org/wikipedia/commons/d/d3/Dinara_Naumova.jpg?utm_source=ru.wikipedia.org&utm_campaign=imageinfo&utm_content=thumbnail_unscaled	CC BY 4.0	parlam.kz	candidates/respublica/55.jpg	https://assets.open-quryltai.org/candidates/respublica/55.jpg	2026-08-16T22:42:03Z
respublica	60	Смолякова Екатерина Сергеевна	1987	ru	https://ru.wikipedia.org/wiki/%D0%A1%D0%BC%D0%BE%D0%BB%D1%8F%D0%BA%D0%BE%D0%B2%D0%B0,_%D0%95%D0%BA%D0%B0%D1%82%D0%B5%D1%80%D0%B8%D0%BD%D0%B0_%D0%A1%D0%B5%D1%80%D0%B3%D0%B5%D0%B5%D0%B2%D0%BD%D0%B0	Q134725109	Екатерина Сергеевна Смолякова (род. 2 августа 1987) — казахстанский политик. Депутат Мажилиса Парламента Казахстана VIII созыва (2025—2026).	UPLOADED	https://upload.wikimedia.org/wikipedia/commons/thumb/8/8f/%D0%A1%D0%BC%D0%BE%D0%BB%D1%8F%D0%BA%D0%BE%D0%B2%D0%B0_%D0%95%D0%BA%D0%B0%D1%82%D0%B5%D1%80%D0%B8%D0%BD%D0%B0_%D0%A1%D0%B5%D1%80%D0%B3%D0%B5%D0%B5%D0%B2%D0%BD%D0%B0.jpg/1280px-%D0%A1%D0%BC%D0%BE%D0%BB%D1%8F%D0%BA%D0%BE%D0%B2%D0%B0_%D0%95%D0%BA%D0%B0%D1%82%D0%B5%D1%80%D0%B8%D0%BD%D0%B0_%D0%A1%D0%B5%D1%80%D0%B3%D0%B5%D0%B5%D0%B2%D0%BD%D0%B0.jpg?utm_source=ru.wikipedia.org&utm_campaign=imageinfo&utm_content=thumbnail	CC BY 4.0	НеизвестенUnknown author	candidates/respublica/60.jpg	https://assets.open-quryltai.org/candidates/respublica/60.jpg	2026-08-16T22:42:33Z
respublica	65	Сураган Дурвудхан	1988	ru	https://ru.wikipedia.org/wiki/%D0%A1%D1%83%D1%80%D0%B0%D0%B3%D0%B0%D0%BD,_%D0%94%D1%83%D1%80%D0%B2%D1%83%D0%B4%D1%85%D0%B0%D0%BD	Q136816333	Дурвудхан Сураган (каз. Дөрбетхан Сұраған; род. 25 апреля 1988, Баян-Улгий, Монголия) — казахстанский учёный-математик, профессор АОО «Назарбаев Университет», член-корреспондент (2017), академик (2024) Национальной академии наук Казахстана. Ведущий учёный-математик Казахстана. Один из наиболее высоко цитируемых за рубежом казахстанских учёных, общее количество цитирований 1 107 (индекс Хирша — 20) согласно базе данных Scopus. Самый молодой академик в истории НАН РК. Лауреат Государственной премии Республики Казахстана в области науки и техники имени аль-Фараби (2020). Лауреат премии Феррана Суньер-и-Балагера (2018).	NO_PHOTO						2026-08-16T22:42:39Z
