party_id	list_order	candidate_name	birth_year	wiki_language	page_id	page_title	page_url	wikidata_id	verification_status	evidence	country_context	current_extract	verified_at
respublica	9	Аубакиров Нурлан Ерикбаевич	1975	ru	7338828	Аубакиров, Нурлан Ерикбаевич	https://ru.wikipedia.org/wiki/%D0%90%D1%83%D0%B1%D0%B0%D0%BA%D0%B8%D1%80%D0%BE%D0%B2,_%D0%9D%D1%83%D1%80%D0%BB%D0%B0%D0%BD_%D0%95%D1%80%D0%B8%D0%BA%D0%B1%D0%B0%D0%B5%D0%B2%D0%B8%D1%87	Q51667881	NEEDS_REVIEW	exact-current-title,birth-year-match,country-context:unknown	UNKNOWN	Нурла́н Ери́кбаевич Аубакиров (каз. Нұрлан Ерікбайұлы Әубәкіров; род. 29 декабря 1975, Караганда) — аким города Караганды с 2014 по 2020 гг.	2026-08-16T22:25:34Z
respublica	21	Габбасов Еркин Тлеугабылович	1983	ru	10740311	Габбасов, Еркин Тлеугабылович	https://ru.wikipedia.org/wiki/%D0%93%D0%B0%D0%B1%D0%B1%D0%B0%D1%81%D0%BE%D0%B2,_%D0%95%D1%80%D0%BA%D0%B8%D0%BD_%D0%A2%D0%BB%D0%B5%D1%83%D0%B3%D0%B0%D0%B1%D1%8B%D0%BB%D0%BE%D0%B2%D0%B8%D1%87	Q130210100	VERIFIED	exact-current-title,birth-year-match,country-context:kazakhstan	KAZAKHSTAN	Еркин Тлеугабылович Габбасов (каз. Еркін Тілеуғабылұлы Ғаббасов; род. 9 сентября 1983 года) — казахстанский спортсмен, стрелок-паралимпиец. Серебряный призёр летних Паралимпийских игр 2024 в Париже.	2026-08-16T22:25:35Z
respublica	21	Габбасов Еркин Тлеугабылович	1983	ru	5287495	Габбасов	https://ru.wikipedia.org/wiki/%D0%93%D0%B0%D0%B1%D0%B1%D0%B0%D1%81%D0%BE%D0%B2	Q30878181	NEEDS_REVIEW	birth-year-match,country-context:kazakhstan	KAZAKHSTAN	Габбасов — фамилия. Известные носители: Габбасов, Араб Махич (1903—2002) — советский и казахстанский растениевод. Габбасов, Еркин Тлеугабылович (род. 1983) — казахстанский спортсмен-стрелок, призёр Паралимпийских игр. Габбасов, Радек Фатыхович (1934—2020) — доктор технических наук (1989), профессор. Габбасов, Халел Ахметжанулы (1888—1931) — участник Алашского движения, заместитель председателя правительства Алашской автономии. Габбасов, Энгельс Габбасович (1937—2014) — казахский писатель, общественный деятель. Габбасова, Яна (род. 2003) — российская певица, победительница 9 сезона шоу «Голос».	2026-08-16T22:25:35Z
respublica	43	Куспеков Олжас Хайроллаевич	1986	ru	11332818	Куспеков, Олжас Хайроллаевич	https://ru.wikipedia.org/wiki/%D0%9A%D1%83%D1%81%D0%BF%D0%B5%D0%BA%D0%BE%D0%B2,_%D0%9E%D0%BB%D0%B6%D0%B0%D1%81_%D0%A5%D0%B0%D0%B9%D1%80%D0%BE%D0%BB%D0%BB%D0%B0%D0%B5%D0%B2%D0%B8%D1%87	Q131744492	VERIFIED	exact-current-title,birth-year-match,country-context:kazakhstan	KAZAKHSTAN	Олжас Хайроллаевич Куспеков (каз. Олжас Хайроллаұлы Құспеков; род. 7 января 1986, Карагандинская область) — казахстанский государственный деятель. Депутат Мажилиса Парламента Республики Казахстан VIII созыва от партии Respublica с 2023 до упразднения Парламента в 2026 году.	2026-08-16T22:25:36Z
respublica	54	Науатбек Ақмарал Маратқызы	1999	ru	10745766	Науатбек, Акмарал Мараткызы	https://ru.wikipedia.org/wiki/%D0%9D%D0%B0%D1%83%D0%B0%D1%82%D0%B1%D0%B5%D0%BA,_%D0%90%D0%BA%D0%BC%D0%B0%D1%80%D0%B0%D0%BB_%D0%9C%D0%B0%D1%80%D0%B0%D1%82%D0%BA%D1%8B%D0%B7%D1%8B	Q63243375	NEEDS_REVIEW	birth-year-match,country-context:kazakhstan	KAZAKHSTAN	Акмарал Мараткызы Науатбек (каз. Ақмарал Маратқызы Науатбек; род. 8 января 1999 года, Астана, Казахстан) — казахстанская парадзюдоистка. Чемпионка летних Паралимпийских игр 2024 года в Париже.	2026-08-16T22:25:37Z
respublica	55	Наумова Динара Рустамовна	1997	ru	10173797	Наумова, Динара Рустамовна	https://ru.wikipedia.org/wiki/%D0%9D%D0%B0%D1%83%D0%BC%D0%BE%D0%B2%D0%B0,_%D0%94%D0%B8%D0%BD%D0%B0%D1%80%D0%B0_%D0%A0%D1%83%D1%81%D1%82%D0%B0%D0%BC%D0%BE%D0%B2%D0%BD%D0%B0	Q120277635	VERIFIED	exact-current-title,birth-year-match,country-context:kazakhstan	KAZAKHSTAN	Динара Рустамовна Наумова (каз. Динара Рустамқызы Наумова; род. 8 сентября 1997, Акмола, Казахстан) — казахстанский общественный деятель. Депутат Мажилиса Парламента Казахстана VIII созыва (2023—2026).	2026-08-16T22:25:38Z
respublica	60	Смолякова Екатерина Сергеевна	1987	ru	11090989	Смолякова, Екатерина Сергеевна	https://ru.wikipedia.org/wiki/%D0%A1%D0%BC%D0%BE%D0%BB%D1%8F%D0%BA%D0%BE%D0%B2%D0%B0,_%D0%95%D0%BA%D0%B0%D1%82%D0%B5%D1%80%D0%B8%D0%BD%D0%B0_%D0%A1%D0%B5%D1%80%D0%B3%D0%B5%D0%B5%D0%B2%D0%BD%D0%B0	Q134725109	VERIFIED	exact-current-title,birth-year-match,country-context:kazakhstan	KAZAKHSTAN	Екатерина Сергеевна Смолякова (род. 2 августа 1987) — казахстанский политик. Депутат Мажилиса Парламента Казахстана VIII созыва (2025—2026).	2026-08-16T22:25:38Z
respublica	65	Сураган Дурвудхан	1988	ru	11199130	Сураган, Дурвудхан	https://ru.wikipedia.org/wiki/%D0%A1%D1%83%D1%80%D0%B0%D0%B3%D0%B0%D0%BD,_%D0%94%D1%83%D1%80%D0%B2%D1%83%D0%B4%D1%85%D0%B0%D0%BD	Q136816333	VERIFIED	exact-current-title,birth-year-match,country-context:kazakhstan	KAZAKHSTAN	Дурвудхан Сураган (каз. Дөрбетхан Сұраған; род. 25 апреля 1988, Баян-Улгий, Монголия) — казахстанский учёный-математик, профессор АОО «Назарбаев Университет», член-корреспондент (2017), академик (2024) Национальной академии наук Казахстана. Ведущий учёный-математик Казахстана. Один из наиболее высоко цитируемых за рубежом казахстанских учёных, общее количество цитирований 1 107 (индекс Хирша — 20) согласно базе данных Scopus. Самый молодой академик в истории НАН РК. Лауреат Государственной премии Республики Казахстана в области науки и техники имени аль-Фараби (2020). Лауреат премии Феррана Суньер-и-Балагера (2018).	2026-08-16T22:25:39Z
respublica	66	Тау Нургул	1973	ru	11251034	Тау, Нургул	https://ru.wikipedia.org/wiki/%D0%A2%D0%B0%D1%83,_%D0%9D%D1%83%D1%80%D0%B3%D1%83%D0%BB	Q136816823	VERIFIED	exact-current-title,birth-year-match,country-context:kazakhstan	KAZAKHSTAN	Нургу́л Та́у (в точной транслитерации Нургу́ль Та́у; род. 3 января 1973, Баян-Ульгий, Монголия) — казахстанский государственный деятель, политик и педагог. Депутат Мажилиса Казахстана с 2023 до упразднения Мажилиса в 2026 году.	2026-08-16T22:25:40Z
respublica	75	Ходжаназаров Айдарбек Асанович	1983	ru	10702934	Ходжаназаров, Айдарбек Асанович	https://ru.wikipedia.org/wiki/%D0%A5%D0%BE%D0%B4%D0%B6%D0%B0%D0%BD%D0%B0%D0%B7%D0%B0%D1%80%D0%BE%D0%B2,_%D0%90%D0%B9%D0%B4%D0%B0%D1%80%D0%B1%D0%B5%D0%BA_%D0%90%D1%81%D0%B0%D0%BD%D0%BE%D0%B2%D0%B8%D1%87	Q97210689	VERIFIED	exact-current-title,birth-year-match,country-context:kazakhstan	KAZAKHSTAN	Айдарбек Асанулы Кожаназаров (каз. Айдарбек Асанұлы Қожаназаров; род. 26 ноября 1983, Кзыл-Ординская область или Кзыл-Орда, Казахская ССР, СССР) — казахский бизнесмен и политик. Депутат Мажилиса Парламента Казахстана VIII созыва с 2023 до упразднения Парламента в 2026 году.	2026-08-16T22:25:40Z
ak_zhol	5	Барлыбаев Ерлан Хайланович	1967	ru	11310703	Барлыбаев, Ерлан Хайланович	https://ru.wikipedia.org/wiki/%D0%91%D0%B0%D1%80%D0%BB%D1%8B%D0%B1%D0%B0%D0%B5%D0%B2,_%D0%95%D1%80%D0%BB%D0%B0%D0%BD_%D0%A5%D0%B0%D0%B9%D0%BB%D0%B0%D0%BD%D0%BE%D0%B2%D0%B8%D1%87	Q136914094	NEEDS_REVIEW	fetch-error:HTTPError	UNKNOWN		2026-08-16T22:25:41Z
ak_zhol	5	Барлыбаев Ерлан Хайланович	1967	ru	1307074	Барлыбаев	https://ru.wikipedia.org/wiki/%D0%91%D0%B0%D1%80%D0%BB%D1%8B%D0%B1%D0%B0%D0%B5%D0%B2	Q85858275	NEEDS_REVIEW	fetch-error:HTTPError	UNKNOWN		2026-08-16T22:25:42Z
ak_zhol	6	Бейсенбаев Ержан Алмабекович	1990	ru	11226227	Бейсенбаев, Ержан Алмабекович	https://ru.wikipedia.org/wiki/%D0%91%D0%B5%D0%B9%D1%81%D0%B5%D0%BD%D0%B1%D0%B0%D0%B5%D0%B2,_%D0%95%D1%80%D0%B6%D0%B0%D0%BD_%D0%90%D0%BB%D0%BC%D0%B0%D0%B1%D0%B5%D0%BA%D0%BE%D0%B2%D0%B8%D1%87	Q136302810	NEEDS_REVIEW	fetch-error:HTTPError	UNKNOWN		2026-08-16T22:25:42Z
ak_zhol	11	Дюсембинов Берик Салимжанович	1971	ru	11329078	Дюсембинов, Берик Салимжанович	https://ru.wikipedia.org/wiki/%D0%94%D1%8E%D1%81%D0%B5%D0%BC%D0%B1%D0%B8%D0%BD%D0%BE%D0%B2,_%D0%91%D0%B5%D1%80%D0%B8%D0%BA_%D0%A1%D0%B0%D0%BB%D0%B8%D0%BC%D0%B6%D0%B0%D0%BD%D0%BE%D0%B2%D0%B8%D1%87	Q137301422	NEEDS_REVIEW	fetch-error:HTTPError	UNKNOWN		2026-08-16T22:25:43Z
ak_zhol	11	Дюсембинов Берик Салимжанович	1971	ru	11329484	Дюсембинов	https://ru.wikipedia.org/wiki/%D0%94%D1%8E%D1%81%D0%B5%D0%BC%D0%B1%D0%B8%D0%BD%D0%BE%D0%B2	Q138440101	NEEDS_REVIEW	fetch-error:HTTPError	UNKNOWN		2026-08-16T22:25:44Z
ak_zhol	14	Ерубаев Серик Сарсенович	1968	ru	11351842	Ерубаев, Серик Сарсенович	https://ru.wikipedia.org/wiki/%D0%95%D1%80%D1%83%D0%B1%D0%B0%D0%B5%D0%B2,_%D0%A1%D0%B5%D1%80%D0%B8%D0%BA_%D0%A1%D0%B0%D1%80%D1%81%D0%B5%D0%BD%D0%BE%D0%B2%D0%B8%D1%87	Q137665715	NEEDS_REVIEW	fetch-error:HTTPError	UNKNOWN		2026-08-16T22:25:45Z
